"","PermitNum","PermitClass","PermitClassMapped","PermitTypeMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","EstProjectCost","AppliedDate","IssuedDate","ExpiresDate","CompletedDate","StatusCurrent","OriginalAddress1","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"96","6740671-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct minor alterations to telecommunications facility (T-Mobile) located at grade at western portion of site, per plan.",0,0,0,20000,"2019-09-06","","","","Corrections Required","5621 DELRIDGE WAY SW","SEATTLE","WA",98106,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6740671-CN",47.55124551,-122.36326793,"5621 DELRIDGE WAY SW
SEATTLE, WA 98106
(47.55124551, -122.36326793)"
"98","6681931-CN","Multifamily","Residential","Building","Addition/Alteration","Construct alterations to an existing multi-family building, per plans",0,0,0,1e+06,"2019-07-18","","","","Reviews Completed","9722 8TH AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6681931-CN",47.70063629,-122.36572635,"9722 8TH AVE NW
SEATTLE, WA 98117
(47.70063629, -122.36572635)"
"100","6679690-CN","Multifamily","Residential","Building","New","Establish use as and construct a townhouse building, occupy per plans",0,0,6,1580000,"2018-12-12","","","","Reviews Completed","7552 43RD AVE S","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6679690-CN",47.53372361,-122.27871769,"7552 43RD AVE S
SEATTLE, WA 98118
(47.53372361, -122.27871769)"
"102","6621131-CN","Multifamily","Residential","Building","New","Establish use as row house and construct new townhouse and occupy, per plan.",0,0,4,619494,"2018-06-21","","","","Reviews In Process","3015 30TH AVE W","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6621131-CN",47.64731361,-122.3959146,"3015 30TH AVE W
SEATTLE, WA 98199
(47.64731361, -122.3959146)"
"103","6751175-DM","Single Family/Duplex","Residential","Demolition","","A new two story DADU off the Alley. Two new bedrooms, two new bathrooms, Living and Kitchen spaces. Garage at main level.",0,0,1,120000,"","","","","Additional Info Requested","3045 64TH AVE SW","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6751175-DM",47.57661662,-122.41491416,"3045 64TH AVE SW
SEATTLE, WA 98116
(47.57661662, -122.41491416)"
"104","6731957-CN","Multifamily","Residential","Building","Addition/Alteration","Construct a ramp for existing triplex, per plan.",0,0,0,2500,"2019-07-24","","","","Corrections Required","867 NW 85TH ST","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6731957-CN",47.69050346,-122.36803649,"867 NW 85TH ST
SEATTLE, WA 98117
(47.69050346, -122.36803649)"
"108","6731637-CN","Commercial","Non-Residential","Building","Addition/Alteration","Change out door hardware on (5) fire rated stairway exit doors to fail-secure locksets, per plans",0,0,0,9250,"2019-07-17","","","","Reviews Completed","601 UNION ST","SEATTLE","WA",98101,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6731637-CN",47.610431,-122.33207692,"601 UNION ST
SEATTLE, WA 98101
(47.610431, -122.33207692)"
"111","6629437-CN","Multifamily","Residential","Building","New","Establish use as rowhouse and construct 8-unit townhouse with attached garages, per plan.",0,0,8,1301977,"2017-12-21","2019-10-01","2021-04-01","","Issued","9030 18TH AVE SW","SEATTLE","WA",98106,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6629437-CN",47.52183217,-122.35756902,"9030 18TH AVE SW
SEATTLE, WA 98106
(47.52183217, -122.35756902)"
"112","6744279-CN","Multifamily","Residential","Building","Addition/Alteration","Construct alterations to add a dwelling unit to existing apartment building (Wolf Fremont Court) at the basement level, occupy per plan.",10,0,1,62750,"2019-08-29","","","","Reviews in Process","4116 FREMONT AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6744279-CN",47.6572976,-122.34963327,"4116 FREMONT AVE N
SEATTLE, WA 98103
(47.6572976, -122.34963327)"
"114","6714578-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Repair pilings and reconstruct deck of pier accessory to single family residence, per plans.",0,0,0,15721,"2019-09-25","","","","Reviews In Process","11730 RIVIERA PL NE","SEATTLE","WA",98125,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6714578-CN",47.7153357,-122.27766679,"11730 RIVIERA PL NE
SEATTLE, WA 98125
(47.7153357, -122.27766679)"
"116","6735499-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations to 3rd floor of existing single-family residence, per plan.",0,0,0,45000,"2019-09-06","","","","Reviews Completed","813 N 43RD ST","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6735499-CN",47.65915081,-122.34807215,"813 N 43RD ST
SEATTLE, WA 98103
(47.65915081, -122.34807215)"
"118","6732179-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct additions and substantial alterations to existing single family residence, per plan.",1,0,0,286760,"2019-09-30","","","","Reviews In Process","9317 FOREST CT SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6732179-CN",47.51928348,-122.38590081,"9317 FOREST CT SW
SEATTLE, WA 98136
(47.51928348, -122.38590081)"
"119","6748543-CN","Single Family/Duplex","Residential","Building","New","In this project we intend to build one Cottage House.  This house is similar to an existing DADU on the same property.  With the changing of our zoning to LR1 we decided to add this one unit.  Our goal is to add more housing density to our lot.",2,0,1,1e+05,"","","","","Additional Info Requested","9026 13TH AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6748543-CN",47.69505276,-122.37247443,"9026 13TH AVE NW
SEATTLE, WA 98117
(47.69505276, -122.37247443)"
"120","6737093-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct tenant improvement to existing commercial building on the ground level suite 150 (Columbia Sportswear). per plan.",0,0,0,540000,"2019-07-17","2019-10-01","2021-04-01","","Issued","837 N 34TH ST","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6737093-CN",47.64912742,-122.34824786,"837 N 34TH ST
SEATTLE, WA 98103
(47.64912742, -122.34824786)"
"121","6751174-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","A new two story DADU off the Alley. Two new bedrooms, two new bathrooms, Living and Kitchen spaces. Garage at main level.",0,0,1,120000,"","","","","Scheduled","3045 64TH AVE SW","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6751174-CN",47.57661662,-122.41491416,"3045 64TH AVE SW
SEATTLE, WA 98116
(47.57661662, -122.41491416)"
"122","6746057-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations to create an attached accessory dwelling unit (AADU) to existing single family residence in the basement, per plan.",1,0,1,35000,"2019-09-10","","","","Reviews In Process","3010 44TH AVE SW","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6746057-CN",47.57664052,-122.38760194,"3010 44TH AVE SW
SEATTLE, WA 98116
(47.57664052, -122.38760194)"
"123","6726800-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Establish use and construct accessory dwelling unit in basement of existing single family residence, per plan.",0,0,1,39320,"2019-08-26","2019-10-01","2021-04-01","","Issued","5256 16TH AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6726800-CN",47.66804752,-122.31048376,"5256 16TH AVE NE
SEATTLE, WA 98105
(47.66804752, -122.31048376)"
"124","6694503-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct a single family residence, per plan",0,0,1,430294,"2019-01-15","","","","Corrections Required","4548 23RD AVE SW","SEATTLE","WA",98106,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6694503-CN",47.56152374,-122.36158274,"4548 23RD AVE SW
SEATTLE, WA 98106
(47.56152374, -122.36158274)"
"125","6723881-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition and substantial alterations to existing single family residence, per plan.",1,0,0,108029,"2019-08-20","","","","Reviews In Process","2322 N 136TH ST","SEATTLE","WA",98133,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6723881-CN",47.72805437,-122.33053412,"2322 N 136TH ST
SEATTLE, WA 98133
(47.72805437, -122.33053412)"
"126","6713419-CN","Multifamily","Residential","Building","Addition/Alteration","Shoring and excavation for future construction of an apartment building with below-grade parking, per plan.",0,0,0,1400000,"2019-04-12","2019-10-01","2021-04-01","","Issued","1020 S MAIN ST","SEATTLE","WA",98104,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6713419-CN",47.60023616,-122.31857531,"1020 S MAIN ST
SEATTLE, WA 98104
(47.60023616, -122.31857531)"
"129","6695924-CN","Institutional","Non-Residential","Building","Addition/Alteration","Change use from office to classrooms, construct alterations to existing institution (Seattle Academy of Arts and Sciences), and occupy, per plan.",0,0,0,2e+06,"2019-02-20","","","","Reviews In Process","1201 E UNION ST","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6695924-CN",47.61266519,-122.31631329,"1201 E UNION ST
SEATTLE, WA 98122
(47.61266519, -122.31631329)"
"131","6711123-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct substantial alterations and additions to a single family residence, per plan.",1,0,0,2e+06,"2019-06-19","","","","Reviews In Process","3949 NE SURBER DR","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6711123-CN",47.65533526,-122.28479422,"3949 NE SURBER DR
SEATTLE, WA 98105
(47.65533526, -122.28479422)"
"133","6684562-CN","Multifamily","Residential","Building","New","Establish use as and construct a townhouse structure with surface parking, per plan.",1,0,0,856766,"2019-04-10","","","","Corrections Required","2024 NE 85TH ST","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6684562-CN",47.69057753,-122.30568896,"2024 NE 85TH ST
SEATTLE, WA 98115
(47.69057753, -122.30568896)"
"135","6727138-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition and substantial alterations to existing single family residence, per plan.",1,0,0,160122,"2019-09-05","","","","Reviews Completed","5052 37TH AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6727138-CN",47.66647181,-122.28767635,"5052 37TH AVE NE
SEATTLE, WA 98105
(47.66647181, -122.28767635)"
"136","6720109-CN","Multifamily","Residential","Building","Addition/Alteration","Repair building envelope of existing apartment structure, per plan.",0,0,0,350000,"2019-07-15","","","","Corrections Required","5101 NE 55TH ST","SEATTLE","WA",98105,"MCLEOD CONSTRUCTION LLC","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6720109-CN",47.66826979,-122.27296227,"5101 NE 55TH ST
SEATTLE, WA 98105
(47.66826979, -122.27296227)"
"137","6725783-CN","Multifamily","Residential","Building","Addition/Alteration","Establish use as indoor sports and recreation and Construct initial tenant improvements for training gym (SHRED 415) in mixed-use building, occupy per plan. Mechanical included.",0,0,0,946000,"2019-06-17","","","","Reviews In Process","1823 MINOR AVE","SEATTLE","WA",98101,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6725783-CN",47.61712078,-122.33152395,"1823 MINOR AVE
SEATTLE, WA 98101
(47.61712078, -122.33152395)"
"138","6727471-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Replace deck attached to existing single family residence and construct alterations to existing detached garage, per plan.",1,0,1,40000,"2019-07-09","2019-10-01","2021-04-01","","Issued","7509 30TH AVE NE","SEATTLE","WA",98115,"TACHELL CONSTRUCTION LLC","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6727471-CN",47.68340094,-122.29623073,"7509 30TH AVE NE
SEATTLE, WA 98115
(47.68340094, -122.29623073)"
"139","6744854-CN","Institutional","Non-Residential","Building","Addition/Alteration","Construct alterations to an existing institutional building (Benaroya Hall) at the rooftop level minor communications antenna facility (Verizon), per plan.",0,0,0,10800,"2019-09-10","2019-10-01","2021-04-01","","Issued","1301 3RD AVE","SEATTLE","WA",98101,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6744854-CN",47.60804947,-122.33671891,"1301 3RD AVE
SEATTLE, WA 98101
(47.60804947, -122.33671891)"
"140","6669205-CN","Multifamily","Residential","Building","New","Construct 9 unit townhouse building with surface parking, per plan.",0,0,9,1275547,"2018-08-07","","","","Corrections Required","3920 SW DAWSON ST","SEATTLE","",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6669205-CN",47.55579456,-122.38195917,"3920 SW DAWSON ST
SEATTLE 98136
(47.55579456, -122.38195917)"
"141","6714048-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct detached accessory dwelling unit (DADU) to existing single family residence, per plan.",0,0,1,111088,"2019-05-03","","","","Reviews Completed","5018 BOWEN PL S","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6714048-CN",47.55641176,-122.27732331,"5018 BOWEN PL S
SEATTLE, WA 98118
(47.55641176, -122.27732331)"
"142","6728032-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations and upper floor deck addition to existing single family residence, per plan.",0,0,0,75000,"2019-07-12","2019-10-01","2021-04-01","","Issued","2521 9TH AVE W","SEATTLE","WA",98119,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6728032-CN",47.6413413,-122.36925163,"2521 9TH AVE W
SEATTLE, WA 98119
(47.6413413, -122.36925163)"
"144","6703203-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct a single-family residence with detached garage, per plan.",0,0,1,940530,"2019-04-09","2019-10-01","2021-04-01","","Issued","1210 20TH AVE E","SEATTLE","WA",98112,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6703203-CN",47.6309958,-122.30563852,"1210 20TH AVE E
SEATTLE, WA 98112
(47.6309958, -122.30563852)"
"145","6585495-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition and alterations for a detached accessory structure, per plans",1,0,0,69815,"2019-01-24","","","","Ready for Issuance","542 NE 94TH ST","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6585495-CN",47.69697878,-122.32118637,"542 NE 94TH ST
SEATTLE, WA 98115
(47.69697878, -122.32118637)"
"146","6693713-CN","Commercial","Non-Residential","Building","Addition/Alteration","Partial change use from office/warehouse to lounge (indoor participant sports) in existing commercial building, occupy per plan.",0,0,0,15000,"2019-07-12","2019-10-01","2021-04-01","","Issued","814 S LANE ST","SEATTLE","WA",98104,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693713-CN",47.59691718,-122.32182031,"814 S LANE ST
SEATTLE, WA 98104
(47.59691718, -122.32182031)"
"147","6750823-CN","Multifamily","Residential","Building","Addition/Alteration","Interior remodel to convert 1 apartment into 2 units",25,0,1,50000,"","","","","Scheduled","112 BELLEVUE AVE E","SEATTLE","WA",98102,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6750823-CN",47.61902734,-122.32640902,"112 BELLEVUE AVE E
SEATTLE, WA 98102
(47.61902734, -122.32640902)"
"149","6733267-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct initial tenant improvements for office on level 1, occupy per plan.",0,0,0,637293,"2019-07-22","","","","Reviews Completed","333 DEXTER AVE N","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6733267-CN",47.6217796,-122.34293264,"333 DEXTER AVE N
SEATTLE, WA 98109
(47.6217796, -122.34293264)"
